"OptionID","VendorID","Type","Name","Allergens","IncrementalPrice","ChoiceType"
"4561","4000195","","Italian & Balsamic Vinaigrette","","0","850"
"4562","4000195","","Blue Cheese","","0","850"
"4563","4000195","","1000 Island","","0","850"
"4564","4000195","","Honey Mustard","","0","850"
"4565","4000195","","Ranch","","0","850"
"4566","4000195","","French Fries","","0","851"
"4567","4000195","","Mixed Greens (Carrots, Cranberries, Sunflower Seeds)","","0","851"
"4568","4000195","","Caesar Salad","","0","851"
"4569","4000195","","Superfood Slaw (Broccoli, Brussel Sprouts, Kale, Carrots, Cranberries, Poppyseed Dressing)","","0","851"
"4570","4000195","","Pasta Salad (Tomatoes, Red Onions, Black Olives)","","0","851"
"4571","4000195","","Potato Salad","","0","851"
"4572","4000195","","Seasonal Fruit Salad","","0","851"
"4573","4000195","","Mac 'n Cheese","1","0","851"
"4574","4000195","","Assorted Cookies","","0","851"
"4575","4000190","8","Chicken","","0","1"
"4576","4000190","9","Pork","","0","1"
"4577","4000190","","Tofu","6","0","1"
"4578","4000190","","White Rice","","0","852"
"4579","4000190","","Brown Rice","","0","852"
"4580","4000190","","Mild","","0","853"
"4581","4000190","4","Medium","","0","853"
"4582","4000190","4","Hot","","0","853"
"4583","4000190","4","Thai Hot","","0","853"
"4584","4000190","11","Beef","","1","1"
"4585","4000190","13","Prawns","5","1","1"
"4586","4000190","13","Calamari","5","1","1"
"4587","4000190","8","Chicken","","0","854"
"4588","4000190","","Beef","","1","854"
"4589","4000190","9","Pork","","0","854"
"4590","4000190","8","Chicken","","0","852"
"4591","4000190","11","Beef","","1","852"
"4592","4000190","9","Pork","","0","852"
"4593","4000196","11","Asada (beef)","","0","855"
"4594","4000196","9","Pastor (Marinated Pork)","","0","855"
"4595","4000196","8","Pollo asado (chicken)","","0","855"
"4596","4000196","11","Lengua (beef tongue)","","0","855"
"4597","4000196","11","Cabeza (beef cheeks)","","0","855"
"4598","4000196","9","Carnitas (tender pork)","","0","855"
"4599","4000196","11","Barbacoa (tender beef)","","0","855"
"4600","4000196","9","Chorizo (spicy pork)","","0","855"
"4601","4000196","","No Meat","","0","855"
"4602","4000196","8","Chicken","","0","1"
"4603","4000196","11","Beef","","0","1"
"4604","4000196","","Cheese","1","0","1"
"4605","4000197","11","BBQ Beef Burger","","0","856"
"4606","4000197","8","BBQ Chicken Burger","","0","856"
"4607","4000197","8","Chicken Katsu Burger","","0","856"
"4608","4000197","11","Double Cheese Burger","","0","856"
"4609","4000197","11","Hamburger","","0","856"
"4610","4000197","13","Breaded Shrimp Burger","","0","856"
"4611","4000197","12","Fried Fish Burger","5","0","856"
"4612","4000197","","Mini","","0","857"
"4613","4000197","","Regular","","2.45000004768372","857"
"4614","4000197","8","BBQ Chicken","","0","1"
"4615","4000197","11","BBQ Beef","","0","1"
"4616","4000197","11","BBQ Rib","","0","1"
"4617","4000198","","White Rice","","0","858"
"4618","4000198","","Brown Rice","","0","858"
"4619","4000198","","Pinto","","0","859"
"4620","4000198","","Black","","0","859"
"4621","4000198","","Medium","","0","860"
"4622","4000198","","Hot","","0","860"
"4623","4000198","","Corn","","0","860"
"4624","4000198","","Monterrey Jack Cheese","","0","861"
"4625","4000198","","Lettuce","","0","861"
"4626","4000198","","Guacamole","","0.69999998807907","861"
"4627","4000198","","Sour Cream","","0.69999998807907","861"
"4628","4000198","","Chips","","1.49000000953674","862"
"4629","4000199","","Add Fruit tray for 25 people","","60","863"
"4630","4000191","","French Fries","","0","864"
"4631","4000191","3","Salad","","0","864"
"4632","4000137","","Add Extra Cookie","1,2","1.21000003814697","865"
"4633","4000200","","Chicken Rice","","0","866"
"4634","4000200","2","Brown Rice (V)","","0","866"
"4635","4000200","2","Mixed Greens (V)","","0","866"
"4636","4000200","","White Meat, Skin","","0","867"
"4637","4000200","","White Meat, No Skin","","0","867"
"4638","4000200","","Dark Meat, Skin","","0","867"
"4639","4000200","","Dark Meat, No Skin","","0","867"
"4640","4000200","","Mixed meat, Skin","","0","867"
"4641","4000200","","Mixed meat, No Skin","","0","867"
"4642","4000200","2","CMR Sauce (V)","","0","868"
"4643","4000200","","Savory Ginger","","0","868"
"4644","4000200","2","Ginger Scallion Oil (V)","","0","868"
"4645","4000200","13","Singapore Chili Sauce (V)","","0","868"
"4646","4000200","2","Sweet Chili (V)","","0","868"
"4647","4000200","2","Sesame Teriyaki (V)","","0","868"
"4648","4000200","","No Sauce","","0","868"
"4649","4000202","","Hummus","","0","869"
"4650","4000202","","S'Hug (Hot Sauce)","","0","869"
"4651","4000202","","Israeli Cous Cous","","0","869"
"4652","4000202","","Tomato and Cucumber Salad","","0","869"
"4653","4000202","","Purple cabbage Salad","","0","869"
"4654","4000202","","Tabbouleh Salad","","0","869"
"4655","4000202","","Organic Mixed Greens","","0","869"
"4656","4000202","","Eggplant Greek Style Salad","","0","869"
"4657","4000202","","Pickles (Mediterranean Style)","","0","869"
"4658","4000202","","Tahini (Sesame Sauce)","","0","869"
"4659","4000202","","Feta Cheese","","0.75","869"
"4660","4000202","","Roasted Peppers ","","0.75","869"
"4661","4000202","","Kalamata Olives ","","0.75","869"
"4662","4000202","","Extra: Chicken Shawarma Meat ","","2.25","869"
"4663","4000202","","Make it a Bowl","","2","870"
"4664","4000202","","Add a Pita","","1","871"
"4665","4000202","","Make it a Bowl","","2","871"
"4666","4000202","","Hummus","","0","870"
"4667","4000202","","S'Hug (Hot Sauce)","","0","870"
"4668","4000202","","Israeli Cous Cous","","0","870"
"4669","4000202","","Tomato and Cucumber Salad","","0","870"
"4670","4000202","","Purple cabbage Salad","","0","870"
"4671","4000202","","Tabbouleh Salad","","0","870"
"4672","4000202","","Organic Mixed Greens","","0","870"
"4673","4000202","","Eggplant Greek Style Salad","","0","870"
"4674","4000202","","Pickles (Mediterranean Style)","","0","870"
"4675","4000202","","Tahini (Sesame Sauce)","","0","870"
"4676","4000202","","Feta Cheese","","0.75","870"
"4677","4000202","","Roasted Peppers ","","0.75","870"
"4678","4000202","","Kalamata Olives ","","0.75","870"
"4679","4000202","","Extra: Chicken Shawarma Meat ","","2.25","870"
"4680","4000195","","Dutch Crunch","","0","872"
"4681","4000195","","Sourdough","","0","872"
"4682","4000195","","Soft French","","0","872"
"4683","4000195","","Wheat","","0","872"
"4684","4000195","","Asiago","","0","872"
"4685","4000195","","Seasonal Potato Salad","","0","851"
"4686","4000195","","Mixed Greens","","0","851"
"4687","4000195","","Coleslaw","","0","851"
"4688","4000195","","Fruit Salad","","0","851"
"4689","4000195","","Cookie","","0","851"
"4690","4000195","","Mac 'n Cheese","1","0","873"
"4691","4000195","","Seasonal Potato Salad","2","0","873"
"4692","4000195","","Mixed Greens","","0","873"
"4693","4000195","","Caesar Salad","","0","873"
"4694","4000195","","Coleslaw","","0","873"
"4695","4000195","","Fruit Salad","","0","873"
"4696","4000195","","Cookie","","0","873"
"4697","4000205","","Most Popular","","0","874"
"4698","4000205","4","Hot Sauce","","0","874"
"4699","4000205","","Mild Sauce","","0","874"
"4700","4000205","1","Vegetarian","","0","875"
"4701","4000205","8","Chicken","","3","875"
"4702","4000205","11","Steak","","4.5","875"
"4703","4000205","","Most Popular","","0","876"
"4704","4000205","","Pinto Beans","","0","876"
"4705","4000205","2","Black Beans","","0","876"
"4706","4000205","2","Rive ","","0","876"
"4707","4000205","1","Cheese","","0","877"
"4708","4000205","8","Chicken","","0","877"
"4709","4000205","11","Steak ","","12","877"
"4710","4000205","","Rice","","0","876"
"4711","4000205","8","Chicken ","","10.4899997711182","878"
"4712","4000205","11","Steak","","11.5900001525879","878"
"4713","4000208","6","Assorted","","0","879"
"4714","4000208","6","49ers Touch","","0","879"
"4715","4000208","","The Warrior Sub w/ Chicken","","0","879"
"4716","4000208","6","Hot Pastrami Sub","","0","879"
"4717","4000208","","The Shark Attack Sub","","0","879"
"4718","4000208","6","The Unforgiven Sub w/ Turkey","","0","879"
"4719","4000208","","The Usual Sub","","0","879"
"4720","4000208","","T-Melt Sub","","0","879"
"4721","4000208","1","Caprese Sub","","0","879"
"4722","4000208","","Asian Wrap","","0","879"
"4723","4000208","6","Cobb Chix Wrap","","0","879"
"4724","4000208","","Raider Nation Wrap","","0","879"
"4725","4000208","","Italy's Favorite Wrap","","0","879"
"4726","4000208","","The Broncos Sub","","0","879"
"4727","4000208","","The Golden Gate Sub","","0","879"
"4728","4000208","6"," The Warrior Sub w/ Turkey","","0","879"
"4729","4000208","6","Giant Curve Sub","","0","879"
"4730","4000208","","Feel the Bern Sub","","0","879"
"4731","4000208","","The Unforgiven Sub w/ Chicken","","0","879"
"4732","4000208","","Italiano Sub","","0","879"
"4733","4000208","6","B.L.A.S.T. Sub","","0","879"
"4734","4000208","2,6","Hummus & Vinaigrette Sub","","0","879"
"4735","4000208","","Caesar Wrap","","0","879"
"4736","4000208","6","Turkey Bacon Wrap","","0","879"
"4737","4000208","2","Hummus Wrap","","0","879"
"4738","4000208","6","Avocado Wrap","","0","879"
"4739","4000208","6","Most Popular","","0","880"
"4740","4000208","6","Caesar Salad","","0","880"
"4741","4000208","","Turkey Bacon Salad","","0","880"
"4742","4000208","2,6","Hummus Salad","","0","880"
"4743","4000208","1,6","Avocado Salad","","0","880"
"4744","4000208","","Asian Salad","","0","880"
"4745","4000208","6","Cobb Chix Salad","","0","880"
"4746","4000208","6","Raider Nation Salad","","0","880"
"4747","4000208","","Italy's Favorite Salad","","0","880"
"4748","4000209","","MIld ","","0","881"
"4749","4000209","4,6","Spicy","","0","881"
"4750","4000210","","Cheese","","0","882"
"4751","4000210","8","Grilled All-Natural Chicken","","10","882"
"4752","4000210","11","Grilled All-Natural Steak","","11","882"
"4753","4000210","13","Shrimp","5","15","882"
"4754","4000210","8","Grilled All-Natural Chicken","","0","883"
"4755","4000210","11","Grilled All-Natural Steak","","0","883"
"4756","4000210","12","Beer-Battered Wild Alaska Pollock","","0","883"
"4757","4000210","13","Shrimp","5","3.5","883"
"4758","4000210","12","Grilled Wild Pacific Mahi ","","3.5","883"
"4759","4000210","12","Blackened Wild Pacific Mahi","","3.5","883"
"4760","4000210","12","Grilled Wild Salmon","","7.5","883"
"4761","4000210","12","Blackened Wild Salmon","","7.5","883"
"4762","4000210","","Most Poular","","0","884"
"4763","4000210","","Black beans","","0","884"
"4764","4000210","","Citrus Rice","","0","884"
"4765","4000210","","No Fried Pinto Beans","","0","884"
"4766","4000210","","Mexican Rice","","0","884"
"4767","4000210","","Assorted","","0","884"
"4768","4000210","11","Burrito Especial w/ Grilled Steak","","0","884"
"4769","4000210","8","Burrito Especial w/ Grilled Chicken","","0","884"
"4770","4000210","1","Burrito Especial w/ Vegetables","","0","884"
"4771","4000210","4","Ancho-Citrus Shrimp Burrito","","11.25","884"
"4772","4000210","","Assorted","","0","885"
"4773","4000210","11","Burrito Especial w/ Grilled Steak","","0","885"
"4774","4000210","8","Burrito Especial w/ Grilled Chicken","","0","885"
"4775","4000210","1","Burrito Especial w/ Vegetables","","0","885"
"4776","4000210","","Ancho-Citrus Shrimp Burrito","","11.25","885"
"4777","4000210","8","Grilled All-Natural Chicken","","10","886"
"4778","4000210","13","Grilled Shrimp","5","15","886"
"4779","4000210","","Grilled Wild Salmon","","15","886"
"4780","4000210","12","Blackened Wild Salmon","","15","886"
"4781","4000210","12","Grilled Wild Pacific Mahi Mahi","","15","886"
"4782","4000210","12","Blackened Wild Pacific Mahi Mahi","","15","886"
"4783","4000212","","Plain Balsamic Vinegar","","0","887"
"4784","4000212","3","Ranch (Fat-Free, Low-Calorie)","","0","887"
"4785","4000212","","Caesar","","0","887"
"4786","4000212","3","Italian (Low-Calorie)","","0","887"
"4787","4000212","3","Raspberry (Fat-Free)","","0","887"
"4788","4000212","3","Oriental (Fat-Free)","","0","887"
"4789","4000212","3","Fresh Lemon Juice","","0","887"
"4790","4000212","","Plain Olive Oil","","0","887"
"4791","4000212","","Bleu Cheese","1","0","887"
"4792","4000212","","Ponzu","6","0","887"
"4793","4000212","","Cilantro","","0","887"
"4794","4000212","","Rice Vinegar","","0","887"
"4795","4000212","","Honey Mustard","","0","887"
"4796","4000212","","Lemon Herb","","0","887"
"4797","4000212","","No Dressing","","0","887"
"4798","4000211","","Add Avocado","","1.5","888"
"4799","4000211","8","Add Chicken","","3.75","889"
"4800","4000211","","Sliced Bananas","","0","890"
"4801","4000211","","Sliced Strawberries","","0","890"
"4802","4000119","","White Rice","","2","891"
"4803","4000119","","Brown Rice","","2.5","891"
"4804","4000119","","Coconut Rice","","3","891"
"4805","4000187","","Pistachios","7","0","892"
"4806","4000187","","Walnuts","7","0","892"
